134418.69+034649.3 0.327 1 51987 18.315 0.021 56393 19.643 0.033 52373 56393 19.643 0.033 57424 WHT      0  4.3
134438.37+053711.4 0.397 0 52015 18.329 0.022 56393 20.400 0.062 52373 56393 20.384 0.055     0 N/A      0 -1.0
134551.66+425755.3 0.451 0 52724 18.908 0.027 56389 20.344 0.062 52814 56393 20.326 0.050     0 N/A      0 -1.0
134855.57+255854.3 0.480 0 53168 18.596 0.017 55992 20.002 0.034 53535 56094 19.949 0.024     0 N/A      0 -1.0
134926.68+214132.6 0.641 0 53439 19.013 0.019 55654 20.486 0.048 54527 56359 20.086 0.038     0 N/A      0 -1.0
135415.36+594051.8 0.612 0 52051 19.733 0.028 56414 18.635 0.017 52320 56420 18.686 0.015     0 N/A      0 -1.0
140325.35+011338.6 0.255 1 51668 18.942 0.038 56391 20.135 0.050 52028 56391 20.130 0.046     0 N/A      0 -1.0
140337.55+043126.2 0.538 0 52015 18.430 0.023 55679 20.441 0.066 52045 56393 20.115 0.039     0 N/A      0 -1.0
140506.21+171707.9 0.340 1 55328 17.893 0.009 56422 19.238 0.020 54509 56422 19.238 0.020 57424 WHT      0  5.2
140914.75+183126.8 0.410 0 53500 18.954 0.019 56007 20.013 0.044 54523 56422 19.956 0.034     0 N/A      0 -1.0
140935.07-010446.6 0.639 0 51258 19.198 0.019 55681 20.512 0.073 51688 56386 20.227 0.040     0 N/A      0 -1.0
141213.61+021202.1 0.295 0 51668 18.229 0.016 56033 19.282 0.023 51993 56391 19.166 0.023 57818 MMT      1  1.7
142046.16+304406.9 0.624 0 53110 18.887 0.021 56393 20.188 0.055 54252 56422 20.037 0.031     0 N/A      0 -1.0
142308.36+372359.5 0.511 0 52758 19.351 0.021 56387 20.749 0.086 53089 56393 20.534 0.051     0 N/A      0 -1.0
142310.49+045455.0 0.608 0 51674 19.093 0.027 55298 20.583 0.081 52049 56393 20.320 0.049     0 N/A      0 -1.0
143101.65-004251.6 0.334 0 51258 18.967 0.033 56370 20.498 0.054 51690 56390 20.429 0.066 57835 MMT      0  2.5
143233.52+065044.6 0.583 0 52076 19.214 0.029 55298 20.800 0.058 53531 56392 20.707 0.076     0 N/A      0 -1.0
143233.96-012145.4 0.521 0 52053 18.808 0.023 56033 20.269 0.045 52404 56390 20.012 0.049     0 N/A      0 -1.0
143428.58+591728.7 0.534 0 52047 19.744 0.024 56414 21.025 0.120 52342 56451 21.138 0.179     0 N/A      0 -1.0
143455.31+572345.0 0.175 1 52046 17.370 0.015 55674 18.913 0.015 52441 55674 18.913 0.015 57426 WHT      1  4.3
143921.55+343412.1 0.602 0 52755 18.996 0.023 56031 20.364 0.030 53172 56393 20.046 0.040     0 N/A      0 -1.0
144702.87+273746.7 0.224 0 53138 18.501 0.020 55666 20.142 0.060 54208 56422 19.883 0.034 57930 Palomar  1  1.8
145026.65+583944.9 0.210 1 55334 19.002 0.016 56414 17.938 0.011 52081 56414 17.938 0.011 57894 MMT      1  1.0
145339.24+220655.7 0.500 0 53168 19.427 0.015 56422 21.280 0.134 54526 56422 20.712 0.060     0 N/A      0 -1.0
145403.79+591801.5 0.303 1 51961 18.779 0.033 56414 20.363 0.064 52081 56414 20.363 0.064 57426 WHT      0  7.9
145519.88+364800.4 0.525 1 52722 19.181 0.016 56393 20.565 0.051 52790 56393 20.565 0.051 57426 WHT      0  1.1
150431.10+263259.9 0.507 0 52821 19.203 0.018 56422 20.604 0.053 54539 56422 20.604 0.053     0 N/A      0 -1.0
151307.39+035659.0 0.355 0 51987 19.988 0.026 56394 21.598 0.129 52057 56394 21.719 0.176     0 N/A      0 -1.0
151341.69+294710.2 0.597 0 52815 19.110 0.017 56061 21.434 0.104 54144 56390 21.369 0.143     0 N/A      0 -1.0
151400.08+332049.8 0.513 0 52758 19.290 0.018 56390 20.959 0.125 53116 56393 20.907 0.088     0 N/A      0 -1.0
151418.48+081525.9 0.344 1 52729 19.297 0.020 56041 20.727 0.063 53876 56394 20.664 0.061 57596 Magellan 0 -1.0
151604.24+355024.8 0.592 0 52811 18.358 0.016 55888 19.518 0.009 53083 56393 19.507 0.038 57930 Palomar  0  3.1
151910.46+351430.0 0.636 0 52722 19.620 0.026 56038 20.643 0.062 52814 56393 20.627 0.086     0 N/A      0 -1.0
152044.63+394930.3 0.439 1 52313 19.769 0.021 56037 21.240 0.069 52736 56395 20.985 0.119 57895 MMT      0  0.9
153142.08+132834.5 0.398 0 53500 19.014 0.019 56067 20.801 0.058 54265 56427 20.447 0.058 57835 MMT      1  2.0
153240.87+433225.2 0.388 0 52402 18.845 0.020 56037 20.549 0.053 52466 56395 20.157 0.041     0 N/A      0 -1.0
