ra,dec,ks_flux_aper2,ks_fluxerr_aper2,splash_1_flux,splash_1_flux_err,splash_2_flux,splash_2_flux_err,splash_3_flux,splash_3_flux_err,splash_4_flux,splash_4_flux_err,photoz,type,dist,angle
149.903094,2.572361,27.647,0.217,65.286,3.224,56.908,2.370,9.276,8.720,32.019,9.247,0.265,0,249.029017,301.712616
149.904796,2.575153,1149.641,0.222,634.597,8.151,432.468,5.120,281.685,7.816,159.370,10.203,null,0,249.383857,304.417473
150.031202,2.527774,156.922,0.133,91.465,0.808,65.900,0.598,44.637,5.686,22.960,1.667,null,1,250.640640,96.784208
150.026803,2.562017,54.665,0.153,76.662,0.493,56.646,0.466,52.016,4.046,42.513,3.486,null,2,251.175145,68.104149
149.894349,2.518520,38.662,0.206,55.188,2.135,34.700,0.969,44.220,5.920,9.024,6.852,0.711,0,251.312504,255.500091
150.014881,2.582665,53.960,0.216,110.680,0.525,80.488,0.346,82.395,5.105,59.704,5.444,0.591,0,253.754587,48.543416
149.891975,2.526572,29.634,0.203,67.240,0.331,49.904,0.194,38.415,5.039,20.067,4.097,0.928,0,254.120672,262.326441
149.920724,2.593683,159.410,0.216,115.080,0.483,92.793,0.378,51.459,5.642,35.891,5.775,0.244,0,255.262025,324.441798
150.016896,2.490691,214.158,0.237,125.973,1.611,90.197,1.345,56.199,5.727,32.870,3.101,null,1,256.097538,129.560749
149.899308,2.569935,268.847,0.225,166.847,2.105,117.890,1.184,74.607,5.882,43.997,5.181,null,1,256.437616,298.451273
149.996034,2.473266,272.735,0.216,300.587,0.706,251.774,0.730,189.051,11.165,78.137,5.884,null,2,256.879639,151.541813
149.892417,2.519597,1188.629,0.212,713.006,10.304,473.613,4.823,288.443,6.636,169.088,8.579,null,0,257.127150,256.724455
150.009820,2.589341,130.304,0.216,262.371,0.635,188.524,0.575,174.082,5.041,807.113,13.839,0.088,0,257.782912,41.846294
150.022755,2.497759,47.783,0.113,71.479,0.187,53.141,0.160,47.935,0.959,300.367,3.831,0.107,0,258.257748,122.211454
149.999262,2.474411,53.659,0.218,99.538,0.262,88.366,0.278,60.608,6.168,80.035,5.888,0.480,0,259.077286,148.849001
149.927232,2.599159,106.944,0.220,137.428,0.558,87.571,0.436,64.524,4.519,40.045,3.706,0.680,0,259.485359,331.193377
149.982885,2.466970,84.328,0.215,132.705,0.421,83.550,0.461,64.976,5.042,44.193,5.897,0.675,0,259.610843,163.181687
150.030382,2.559329,43.480,0.133,72.244,0.493,54.463,0.358,44.776,3.840,30.331,2.124,null,0,259.876060,71.143496
149.930001,2.471256,123.718,0.223,106.935,0.414,88.205,0.326,44.338,5.818,29.826,6.428,0.360,0,259.941461,206.279318
150.023177,2.497114,349.244,0.202,793.004,1.939,574.528,1.270,419.719,11.243,1522.068,32.216,0.156,0,260.784309,122.465280
149.923998,2.597917,50.986,0.216,69.176,0.436,46.387,0.350,42.093,4.496,18.312,2.857,0.630,0,261.465017,328.486492
149.915935,2.479648,62.029,0.219,90.186,0.307,81.125,0.304,26.261,5.618,129.241,8.826,0.262,0,261.923289,219.238709
